,Request Number,Docket Record Name,Organization Name, Grant Amount , Amount (Fund-Coding) ,Budget Area/Strategy/Portfolio,Grant Purpose,Award Date,Fund Name,Award Year,Department
,5599,"5599 - Boston Chinatown Neighborhood Center, Inc.","Boston Chinatown Neighborhood Center, Inc.","$400,000.00","$400,000.00",Former Education Strategies,Haitian Parent Engagement Project (Exit Grant),12/3/2014,Grants,2014,Education
,5550,"5550 - Carbon Roots International, Inc.","Carbon Roots International, Inc.","$400,000.00","$400,000.00",Global/Clean Energy,Green Charcoal Social Business for Haiti,9/17/2014,Global Grants,2014,Old
,6025,6025 - Clean Water Fund,Clean Water Fund,"$400,000.00","$400,000.00",Climate/Clean Energy,"To implement outreach, organizing, and policy education to ensure Massachusetts reaches its greenhouse gas reduction goals",9/16/2015,Grants,2015,Climate
,5944,5944 - The Nature Conservancy,The Nature Conservancy,"$400,000.00","$400,000.00",Climate/Clean Energy/Support National and Local Networks,Alliance to Curb Climate Change,6/23/2015,Grants,2015,Climate
,5871,"5871 - Ceres, Inc.","Ceres, Inc.","$400,000.00","$400,000.00",Climate/Clean Energy/Support National and Local Networks,Leveraging the Marketplace to Address Climate Change,6/23/2015,Grants,2015,Climate
,5817,5817 - New World Foundation,New World Foundation,"$400,000.00","$400,000.00",Climate/Clean Energy,Green Justice Coalition,3/2/2015,Grants,2015,Climate
,5756,5756 - Transportation for Massachusetts Coalition,Transportation for Massachusetts Coalition,"$400,000.00","$400,000.00",Climate/Mobility/Modernize the Region's Transportation System,The Transportation for Massachusetts Coalition project,3/2/2015,Grants,2015,Climate
,6015,"6015 - Strategies for Children, Inc.","Strategies for Children, Inc.","$400,000.00","$400,000.00",Former Education Strategies,To provide operating support as it works to ensure that Massachusetts children have access to high-quality early education and care that prepares them for success in school and life,9/16/2015,Grants,2015,Education
,5809,"5809 - Root Capital, Inc.","Root Capital, Inc.","$400,000.00","$400,000.00",Overcome Poverty Abroad/Sustainable Agriculture,Strengthening Smallholder Resilience,3/2/2015,Global Grants,2015,Global
,6136,"6136 - Funders' Network for Smart Growth and Livable Communities, Inc.","Funders' Network for Smart Growth and Livable Communities, Inc.","$400,000.00","$400,000.00",Climate/Mobility/Develop Low-Carbon Communities,To strengthen the philanthropic mission of the Funders' Network,3/2/2016,Grants,2016,Climate
,6745,"6745 - Smart from the Start, Inc.","Smart from the Start, Inc.","$400,000.00","$400,000.00",Education/Transition Grants/Early Education,To provide general operating support as it works to provide family and school readiness programs aimed at preventing the achievement gap,12/7/2016,Grants,2016,Education
,17-06370,"17-06370 - The Lawrence and Lillian Solomon Foundation, Inc.","The Lawrence and Lillian Solomon Foundation, Inc.","$400,000.00","$400,000.00",Climate/Mobility/Develop Low-Carbon Communities,To support a re-granting and technical assistance program for greenways and placemaking in Greater Boston,9/27/2017,Grants,2017,Climate
,17-06354,17-06354 - Clean Water Fund,Clean Water Fund,"$400,000.00","$400,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to support organizing and policy education to ensure that Massachusetts and Connecticut reach their clean energy goals,9/27/2017,Grants,2017,Climate
,17-06236,"17-06236 - Environmental Defense Fund, Inc.","Environmental Defense Fund, Inc.","$400,000.00","$400,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support the Alliance to Curb Climate Change in key Northeast states,6/14/2017,Grants,2017,Climate
,17-06237,17-06237 - The Nature Conservancy,The Nature Conservancy,"$400,000.00","$400,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,to support the Alliance to Curb Climate Change in key Northeast states,6/14/2017,Grants,2017,Climate
,17-06190,"17-06190 - Community Labor United, Inc.","Community Labor United, Inc.","$400,000.00","$400,000.00",Climate/Clean Energy/Expand Renewable Energy and Energy Efficiency,To support and coordinate the Green Justice Coalition?Äôs Boston and statewide clean energy efforts,6/14/2017,Grants,2017,Climate
,17-06373,"17-06373 - Strategies for Children, Inc.","Strategies for Children, Inc.","$400,000.00","$400,000.00",Education/Transition Grants/Early Education,to support general operations,9/27/2017,Grants,2017,Education
,17-06270,17-06270 - Teachers College Columbia University,Teachers College Columbia University,"$400,000.00","$400,000.00",Education/Building Public Will,"To support journalism around secondary schools that promote college, career, and workforce readiness",6/14/2017,Grants,2017,Education
,17-06632,17-06632 - Trustees of Boston College,Trustees of Boston College,"$400,000.00","$400,000.00",Education/New Models,to support City Connects in Boston Public Schools,12/5/2017,Grants,2017,Education
,17-06282,"17-06282 - Pro Publica, Inc.","Pro Publica, Inc.","$400,000.00","$400,000.00",Special Initiatives/Healthy Democracy/Strengthen Journalism,To provide core support,3/27/2017,Grants,2017,SpecialInit
,16-01517,"16-01517 - Boston Harbor Now, Inc.","Boston Harbor Now, Inc.","$400,000.00","$400,000.00",Waterfront - Special Initiatives/Waterfront,To provide core support,3/8/2017,Grants,2017,Waterfront
,18-07205,18-07205 - Metropolitan Area Planning Council,Metropolitan Area Planning Council,"$400,000.00","$400,000.00",Climate/Climate Resilience/Advance Policy and Implementation,To create a climate resilience mini-grant program,9/19/2018,Grants,2018,Climate
,18-06929,"18-06929 - Massachusetts Advocates for Children, Inc.","Massachusetts Advocates for Children, Inc.","$400,000.00","$400,000.00",Education/Building Public Will,to support general operations,9/19/2018,Grants,2018,Education
,17-06778,"17-06778 - New Hampshire Learning Initiative, Inc.","New Hampshire Learning Initiative, Inc.","$400,000.00","$400,000.00",Education/New Models,To support college and career readiness competency development and pathways,3/22/2018,Grants,2018,Education
,17-06785,"17-06785 - Preparatory Foundation, Inc.","Preparatory Foundation, Inc.","$400,000.00","$400,000.00",Education/New Models,To support Boston Preparatory Charter Public School?Äôs capital campaign to serve 300 more students,3/22/2018,Grants,2018,Education
,18-07438,"18-07438 - Boston Municipal Research Bureau, Inc.","Boston Municipal Research Bureau, Inc.","$400,000.00","$400,000.00",Sector Effectiveness/Inform Sound Decision-Making,To provide core operating and capacity building support,12/4/2018,Grants,2018,SectorEffect
,18-07139,18-07139 - Massachusetts Census Equity Fund,Massachusetts Census Equity Fund,"$400,000.00","$400,000.00",Special Initiatives/Healthy Democracy/Ensure A Fair Census,to support the Massachusetts Census Equity Fund,5/30/2018,Grants,2018,SpecialInit
,19-07740,19-07740 - Waltham Public Schools,Waltham Public Schools,"$400,000.00","$400,000.00",Education/New Models,To support the continued evolution of the high school model and the rollout of ChangeMakers Academy,5/29/2019,Grants,2019,Education
,19-07829,"19-07829 - KIPP Massachusetts, Inc.","KIPP Massachusetts, Inc.","$400,000.00","$400,000.00",Education/New Models,To continue supporting the design and implementation of an improved high school experience,7/26/2019,Grants,2019,Education
,19-07835,19-07835 - TechBoston Academy,TechBoston Academy,"$400,000.00","$400,000.00",Education/New Models,To support the continued design and capacity building at TechBoston Academy,5/29/2019,Grants,2019,Education
,19-07969,"19-07969 - Boston Day and Evening Academy Foundation, Inc.","Boston Day and Evening Academy Foundation, Inc.","$400,000.00","$400,000.00",Education/New Models,For the implementation and iteration of the new BDEA pathway as part of Engage New England Cohort 1,7/26/2019,Grants,2019,Education
,19-07959,"19-07959 - Teach for America, Inc.","Teach for America, Inc.","$400,000.00","$400,000.00",Education/Invest In Educators,To support Teach for America's Connecticut region,7/26/2019,Grants,2019,Education
,20-08902,20-08902 - Initiative for Energy Justice,Initiative for Energy Justice,"$400,000.00","$400,000.00",Climate/Clean Energy/Support National and Local Networks,To support research and analysis by the Initiative for Energy Justice,10/29/2020,Grants,2020,Climate
,20-08603,"20-08603 - Great Oaks Foundation, Inc.","Great Oaks Foundation, Inc.","$400,000.00","$400,000.00",Education/New Models,To support continued design and implementation of a new school model for Great Oaks Charter School Bridgeport,5/29/2020,Grants,2020,Education
,19-08466,"19-08466 - New Hampshire Learning Initiative, Inc.","New Hampshire Learning Initiative, Inc.","$400,000.00","$400,000.00",Education/New Models,To support New Hampshire districts as they redesign their districts and schools to support personalized career and college learning pathways for students,2/27/2020,Grants,2020,Education
,20-08734,"20-08734 - The Teacher Collaborative, Inc.","The Teacher Collaborative, Inc.","$400,000.00","$400,000.00",Education/Invest In Educators,To support general operations,7/28/2020,Grants,2020,Education
,20-08886,"20-08886 - Massachusetts Parents United, Inc.","Massachusetts Parents United, Inc.","$400,000.00","$400,000.00",Education/Building Public Will,To support general operations,9/29/2020,Grants,2020,Education
,21-09676,"21-09676 - Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","Rose Fitzgerald Kennedy Greenway Conservancy, Inc.","$400,000.00","$400,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support the Public Art Program,11/30/2021,Grants,2021,Arts
,21-09585,21-09585 - Environmental Leadership Program,Environmental Leadership Program,"$400,000.00","$400,000.00",Climate/Climate (Top Level),To support a cohort of six climate fellows in New England as part of ELP's RAY Diversity Fellowship Program,9/29/2021,Grants,2021,Climate
,21-09656,21-09656 - Kreiva Academy Public Charter School,Kreiva Academy Public Charter School,"$400,000.00","$400,000.00",Education/New Models,To support ongoing high school design and iteration,9/28/2021,Grants,2021,Education
,22-34861,"22-34861 - Springfield Empowerment Zone Partnership, Inc.","Springfield Empowerment Zone Partnership, Inc.","$400,000.00","$400,000.00",Education/New Models,To support the next phase of work for the redesign of High School of Commerce,5/31/2022,Grants,2022,Education
,22-34862,"22-34862 - The Teacher Collaborative, Inc.","The Teacher Collaborative, Inc.","$400,000.00","$400,000.00",Education/Invest In Educators,To support general operations,6/27/2022,Grants,2022,Education
,22-34993,22-34993 - Danbury Public Schools,Danbury Public Schools,"$400,000.00","$400,000.00",Education/New Models,To continue the design and early implementation of a reimagined high school experience in alignment with the Portrait of a Graduate,7/21/2022,Grants,2022,Education
,22-34995,"22-34995 - Massachusetts School Administrators Association, Inc.","Massachusetts School Administrators Association, Inc.","$400,000.00","$400,000.00",Education/Invest In Educators,To continue support for implementation of the Massachusetts Association of School Superintendents' REDI strategy and the New Superintendents' Induction Program (NSIP),7/21/2022,Grants,2022,Education
,22-35177,"22-35177 - Hale Reservation, Inc.","Hale Reservation, Inc.","$400,000.00","$400,000.00",Education/New Models,To define a sustainable programmatic and financial model for Intrepid Academy at Hale Education,11/1/2022,Grants,2022,Education
,22-35301,"22-35301 - Greater Worcester Community Foundation, Inc.","Greater Worcester Community Foundation, Inc.","$400,000.00","$400,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support arts and culture activities as part of the Creative Commonwealth Initiative,6/7/2023,Grants,2023,Arts
,23-35492,"23-35492 - Jean Appolon Expressions, Inc.","Jean Appolon Expressions, Inc.","$400,000.00","$400,000.00",Arts and Creativity/Invest in Adaptive and Relevant Organizations,To support the planning and build-out of a dance facility,6/30/2023,Grants,2023,Arts
,23-35542,23-35542 - Slingshot,Slingshot,"$400,000.00","$400,000.00",Climate/Clean Energy,to support Slingshot's energy programs,6/30/2023,Grants,2023,Climate
,23-35455,"23-35455 - Rights and Democracy Education Fund, Inc.","Rights and Democracy Education Fund, Inc.","$400,000.00","$400,000.00",Climate/Clean Energy,to support advocacy on clean energy and energy affordability in Vermont and New Hampshire,6/7/2023,Grants,2023,Climate
,23-35514,"23-35514 - National Association of City Transportation Officials, Inc.","National Association of City Transportation Officials, Inc.","$400,000.00","$400,000.00",Climate/Mobility/Modernize the Region's Transportation System,to support guidance and capacity building for the public sector transportation field,6/7/2023,Grants,2023,Climate
